,metascore,rank,year,NA_sales,EU_sales,JP_sales,other_sales,global_sales,appid,english,required_age,achievements,positive_ratings,negative_ratings,average_playtime,median_playtime,price,Launch Price,Revenue Estimated,is_aaa,total_reviews,review_ratio,ratio_rating
required_age,0.19752997847589934,-0.27007503699018104,-0.014206966268922963,0.22545603994488397,0.21785730047006463,0.09784323301186662,0.14882676014394036,0.228595078015886,-0.014296689247731134,,1.0,0.16837607404966662,0.21240184358300987,0.2354117550171338,0.15343424826897892,0.11400667079856389,0.09910549241487608,0.11607548226170891,0.22976508706911927,0.239209456453215,0.22694333771231162,0.1375159821509439,0.13169736724757503
achievements,-0.0029651694266025243,0.007791010876410161,0.2315595639711062,-0.008698685391669323,0.0014833839278061767,0.005734000648770672,-0.012478757070566776,-0.006020542413928834,0.1718779841036713,,0.16837607404966662,1.0,0.5268638023262475,0.34469502561048343,0.29131796601984344,0.19876715021885769,0.05294372349428935,0.023927851980679093,0.13580443577197837,-0.11656277959770042,0.5084827446400232,0.06617111878698748,0.06353538916729835
positive_ratings,0.2811692170526878,-0.16564113287935786,0.1857249762649332,0.35400638939342144,0.43638719431551115,0.09310573417586124,0.2185075718921141,0.3846494867339095,0.044833149268372174,,0.21240184358300987,0.5268638023262475,1.0,0.7592651651634613,0.7941641670447328,0.508516605153811,0.060309278438505774,0.030305125637476067,0.7868881010951788,0.05635162353959443,0.9889928926828622,0.16224840003186258,0.1627030877331895
negative_ratings,0.21215169891492208,-0.1883702424457921,0.1735070049401034,0.5081098269735765,0.6583282975812477,0.1591352572730748,0.33068626052331296,0.5696491682357838,0.11995462662073142,,0.2354117550171338,0.34469502561048343,0.7592651651634613,1.0,0.7275428551685568,0.5903447119953219,0.17763971342534124,0.090305185169842,0.9178487331197446,0.13221534657713316,0.8471984270694085,-0.08448212399714858,-0.09087197896808046
average_playtime,0.2719819755233841,-0.17178157217105372,0.2256192841750603,0.3982409216164719,0.48296934465841346,0.14608678046561716,0.2452282028986905,0.4326683381443506,0.09717859737386743,,0.15343424826897892,0.29131796601984344,0.7941641670447328,0.7275428551685568,1.0,0.7791833659746172,0.2186513456966936,0.1135719900921463,0.7771505424344779,0.09369128992149256,0.8137507890549911,0.10986910500121423,0.10804546284223007
median_playtime,0.2535562836389618,-0.15798033919163412,0.2808500014649043,0.338379674656624,0.4287947016149787,0.23000075340911424,0.2091455203098459,0.3825631443502697,0.19261476052079193,,0.11400667079856389,0.19876715021885769,0.508516605153811,0.5903447119953219,0.7791833659746172,1.0,0.34749673758957,0.21304634553609952,0.6293413999496014,0.11642527350370091,0.549373125252124,0.06965671576868171,0.06553851070668885
price,0.10253048566475333,-0.09021982510424806,0.5269732242625131,0.07830393400843333,0.1205665435357858,0.11743198948884187,0.05169029567560924,0.10186905335953146,0.5482474782497208,,0.09910549241487608,0.05294372349428935,0.060309278438505774,0.17763971342534124,0.2186513456966936,0.34749673758957,1.0,0.7077061823394185,0.20864686977763713,-0.1331307065510457,0.0896598705067474,0.013698797687768336,-0.0041000917198812485
Launch Price,0.03262036394685289,-0.06007475090576814,0.3906545619085631,0.00381718410104728,0.043320531391483855,0.03754978668595994,0.006070069537605414,0.021644410347542095,0.4035358347650526,,0.11607548226170891,0.023927851980679093,0.030305125637476067,0.090305185169842,0.1135719900921463,0.21304634553609952,0.7077061823394185,1.0,0.17456064784540146,-0.11818983049853281,0.04529722022475434,-0.08780692695495466,-0.10742518197678959
Revenue Estimated,0.2777783215151139,-0.20080098707843091,0.14987165058858243,0.5131347238008598,0.6570223506616306,0.16226406306283403,0.32836151430378346,0.5711289994340331,0.1104400029546798,,0.22976508706911927,0.13580443577197837,0.7868881010951788,0.9178487331197446,0.7771505424344779,0.6293413999496014,0.20864686977763713,0.17456064784540146,1.0,0.13139999510750808,0.8510714704955897,0.014256317400570056,0.010972046547132184
is_aaa,0.211710772793957,-0.26515034489326833,-0.22664600917144503,0.26320387194644573,0.25718948979115364,0.1159996591763983,0.17779305034535473,0.2689307148417135,-0.2443897375047557,,0.239209456453215,-0.11656277959770042,0.05635162353959443,0.13221534657713316,0.09369128992149256,0.11642527350370091,-0.1331307065510457,-0.11818983049853281,0.13139999510750808,1.0,0.07608687380991433,0.0957258587180115,0.08904827450852278
